ID,Name,Status,Archived,Created,Updated,Trigger Type,Actions,Emails,SMS,Delays,Tags
T2ZDVH,New Template - Gatsby - Flow 1 - Follow on IG (clone),draft,False,2024-02-22T21:02:02+00:00,2024-02-22T21:02:03+00:00,Added to List,2,1,1,0,
T2mEDu,Cancelled Members Winback 4/2024,live,False,2024-04-18T20:32:48+00:00,2024-09-09T14:46:11+00:00,Added to List,7,3,0,3,
T9utbU,VMPA Vanguard Post Purchase - Welcome Email,manual,False,2021-08-02T13:08:39+00:00,2022-11-14T21:00:38+00:00,Metric,10,5,0,5,anthology
TAzWhE,New Template - Gatsby - Flow 5 - TikTok Mention (clone),draft,False,2024-02-22T21:03:20+00:00,2024-02-22T21:03:21+00:00,Added to List,4,1,1,1,
TL3W4z,Abandoned Cart,manual,False,2024-07-01T01:53:22+00:00,2024-07-01T01:53:25+00:00,Metric,4,2,0,2,
TS2Bv9,PLANT UPDATE - Dizzy Gillespie Afro - Individual [5.2024],manual,False,2024-05-09T17:51:54+00:00,2024-05-09T17:51:55+00:00,Added to List,1,1,0,0,shipping update
Tghzbh,PLANT UPDATE - Willie Colon [5.2024],draft,False,2024-05-09T17:03:40+00:00,2024-05-09T17:04:02+00:00,Added to List,2,1,0,1,shipping update
Tn8ADx,FOR THE LOVE TDS,manual,False,2023-03-17T13:16:18+00:00,2023-03-17T13:17:34+00:00,Added to List,1,1,0,0,
Tr9yhR,Dolly Parton Jolene - BIS [2.1.2024],manual,False,2024-02-01T15:29:03+00:00,2024-02-01T15:29:04+00:00,Added to List,2,1,0,1,shipping update
TrANgb,VMPA Memphis Rap - Post Purchase - Welcome Email,live,False,2023-10-23T18:20:42+00:00,2023-10-23T22:35:20+00:00,Metric,2,1,0,1,anthology
