Tag Name,Status,Total Usage,Lists,Segments,Flows,Age (Days),Created At,Updated At
anthology,Active,80,27,26,27,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
customer service,Active,47,47,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
grateful dead,Active,17,9,5,3,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
2020 Price Increase,Active,15,15,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
back in stock,Active,12,12,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
Herbie Hancock,Active,11,7,4,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
APRIL 2020 PROMO LISTS,Active,9,9,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
8_records_for_the_love,Active,7,7,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
April 2020 Announce,Active,6,6,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
GD / Mayer Campaigns,Active,6,4,2,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
maintenance,Active,6,0,6,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
1x buyers,Active,5,2,3,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
2021 holiday,Active,4,0,4,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
aug_winback_2022,Active,4,4,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
country,Active,4,3,1,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
hip-hop,Active,4,3,1,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
June 2020 Announce,Active,3,3,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
artist_pages,Active,3,3,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
essentials,Active,3,3,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
International,Active,2,0,2,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
classics,Active,2,2,0,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
marketing,Active,2,0,2,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
2020 holiday,Active,1,0,1,0,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
BAU Browse,Active,1,0,0,1,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
BAU Checkout,Active,1,0,0,1,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
BAU Welcome,Active,1,0,0,1,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
BC Browse,Active,1,0,0,1,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
BC Checkout,Active,1,0,0,1,0,2025-02-10T15:27:23.886841+00:00,2025-02-10T15:27:23.886841+00:00
